,task_ID,instruction,step_idx,observation_url,action,IP,E,TC,TR,C
0,594_1,Create a milestone for the upcoming task of adding a new branch for zsh comprehensive support starting on 5/1/2044 and ending on in 20 days,1,https://pic.imgdb.cn/item/6711d083d29ded1a8c1c211d.png,click [453]link 'Issues',0.0,0.0,0.0,0.0,0.0
0,135_1,How many commits did Eric and Kilian make to a11yproject on 1/3/2023?,1,https://pic.imgdb.cn/item/6711d083d29ded1a8c1c21b3.png,click [529]link 'The A11Y Project / a11yproject.com',1.0,0.5555555555555556,0.1666666666666666,1.0,1.0
1,135_1,How many commits did Eric and Kilian make to a11yproject on 1/3/2023?,2,https://pic.imgdb.cn/item/6711d083d29ded1a8c1c2210.png,click [2217]link 'Repository',0.6666666666666666,0.111111111111111,0.1666666666666666,1.0,1.0
0,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",1,https://pic.imgdb.cn/item/6711d083d29ded1a8c1c229f.png,click [311]link 'Issues',0.0,0.0,0.0,0.0,0.0
1,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",2,https://pic.imgdb.cn/item/6711d084d29ded1a8c1c231b.png,click [2096]link 'Create new...',0.0,0.0,0.0,0.0,0.0
2,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",3,https://pic.imgdb.cn/item/6711d084d29ded1a8c1c23bf.png,click [2096]link 'Create new...' focused: True expanded: True describedby: gl-tooltip3,0.0,0.0,0.0,0.0,0.0
3,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",4,https://pic.imgdb.cn/item/6711d084d29ded1a8c1c2440.png,click [2096]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
4,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",5,https://pic.imgdb.cn/item/6711d085d29ded1a8c1c24fc.png,click [2096]link 'Create new...' focused: True expanded: True,0.0,0.0,0.0,0.0,0.0
5,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",6,https://pic.imgdb.cn/item/6711d084d29ded1a8c1c2440.png,click [2096]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
6,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",7,https://pic.imgdb.cn/item/6711d085d29ded1a8c1c24fc.png,click [2096]link 'Create new...' focused: True expanded: True,0.0,0.0,0.0,0.0,0.0
7,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",8,https://pic.imgdb.cn/item/6711d084d29ded1a8c1c2440.png,click [2096]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
8,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",9,https://pic.imgdb.cn/item/6711d085d29ded1a8c1c24fc.png,click [2098]link 'Issues',0.0,0.0,0.0,0.0,0.0
9,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",10,https://pic.imgdb.cn/item/6711d086d29ded1a8c1c27af.png,click [3828]link 'Create new...',0.0,0.0,0.0,0.0,0.0
10,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",11,https://pic.imgdb.cn/item/6711d086d29ded1a8c1c286a.png,click [3828]link 'Create new...' focused: True expanded: True describedby: gl-tooltip3,0.0,0.0,0.0,0.0,0.0
11,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",12,https://pic.imgdb.cn/item/6711d086d29ded1a8c1c2917.png,click [3828]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
12,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",13,https://pic.imgdb.cn/item/6711d087d29ded1a8c1c29cf.png,click [3828]link 'Create new...' focused: True expanded: True,0.0,0.0,0.0,0.0,0.0
13,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",14,https://pic.imgdb.cn/item/6711d086d29ded1a8c1c2917.png,click [3828]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
14,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",15,https://pic.imgdb.cn/item/6711d087d29ded1a8c1c29cf.png,click [3828]link 'Create new...' focused: True expanded: True,0.0,0.0,0.0,0.0,0.0
15,662_1,"Open an issue to report experiencing ""OSError: [Errno 98] Address already in use"" during executions in aem-hacker.",16,https://pic.imgdb.cn/item/6711d086d29ded1a8c1c2917.png,click [3828]link 'Create new...' focused: True expanded: False,0.0,0.0,0.0,0.0,0.0
0,104_1,Display the list of issues in the keycloak/keycloak repository that have labels related to flaky-test,1,https://pic.imgdb.cn/item/6711d088d29ded1a8c1c2c90.png,type [1507] [keycloak/keycloak] [1],0.0,0.0,0.0,0.0,0.0
1,104_1,Display the list of issues in the keycloak/keycloak repository that have labels related to flaky-test,2,https://pic.imgdb.cn/item/6711d088d29ded1a8c1c2d19.png,click [1750]link 'Issues',0.0,0.0,0.0,0.0,0.0
2,104_1,Display the list of issues in the keycloak/keycloak repository that have labels related to flaky-test,3,https://pic.imgdb.cn/item/6711d088d29ded1a8c1c2d90.png,type [3336] [keycloak/keycloak flaky-test] [1],0.0,0.0,0.0,0.0,0.0
